str;data;rozmiar
meta.ru.stackoverflow.com.7z;02-Dec-2018 17:49;10.9M
genealogy.stackexchange.com.7z;02-Dec-2018 16:50;10.7M
joomla.stackexchange.com.7z;02-Dec-2018 17:03;10.7M
productivity.stackexchange.com.7z;05-Sep-2018 18:21;10.3M
retrocomputing.stackexchange.com.7z;02-Dec-2018 18:16;10.2M
blender.meta.stackexchange.com.7z;02-Dec-2018 15:59;1.9M
eosio.stackexchange.com.7z;02-Dec-2018 16:36;1.9M
writers.meta.stackexchange.com.7z;03-Dec-2018 05:37;1.9M
license.txt;23-Jan-2014 17:05;1.9K
math.stackexchange.com.7z;02-Dec-2018 17:43;1.9G
cogsci.meta.stackexchange.com.7z;02-Dec-2018 16:10;1.8M
german.meta.stackexchange.com.7z;02-Dec-2018 16:50;1.8M
vegetarianism.stackexchange.com.7z;03-Dec-2018 05:29;1.8M
aviation.meta.stackexchange.com.7z;02-Dec-2018 15:56;1.7M
genealogy.meta.stackexchange.com.7z;02-Dec-2018 16:50;1.7M
money.meta.stackexchange.com.7z;02-Dec-2018 17:56;1.7M
parenting.meta.stackexchange.com.7z;02-Dec-2018 17:59;1.7M
salesforce.meta.stackexchange.com.7z;02-Dec-2018 18:23;1.7M
buddhism.meta.stackexchange.com.7z;02-Dec-2018 16:00;1.6M
crypto.meta.stackexchange.com.7z;02-Dec-2018 16:11;1.5M
iota.stackexchange.com.7z;02-Dec-2018 17:00;1.5M
literature.meta.stackexchange.com.7z;02-Dec-2018 17:05;1.5M
raspberrypi.meta.stackexchange.com.7z;02-Dec-2018 18:15;1.5M
webmasters.meta.stackexchange.com.7z;03-Dec-2018 05:30;1.5M
health.meta.stackexchange.com.7z;02-Dec-2018 16:56;1.4M
space.meta.stackexchange.com.7z;02-Dec-2018 18:41;1.4M
bicycles.meta.stackexchange.com.7z;02-Dec-2018 15:57;1.3M
magento.meta.stackexchange.com.7z;02-Dec-2018 17:05;1.3M
outdoors.meta.stackexchange.com.7z;02-Dec-2018 17:59;1.3M
sharepoint.meta.stackexchange.com.7z;02-Dec-2018 18:37;1.3M
spanish.meta.stackexchange.com.7z;02-Dec-2018 18:42;1.3M
stellar.stackexchange.com.7z;03-Dec-2018 05:02;1.3M
diy.meta.stackexchange.com.7z;02-Dec-2018 16:15;1.2M
mechanics.meta.stackexchange.com.7z;02-Dec-2018 17:48;1.1M
pets.meta.stackexchange.com.7z;02-Dec-2018 17:59;1.1M
french.meta.stackexchange.com.7z;02-Dec-2018 16:44;1.0M
bitcoin.meta.stackexchange.com.7z;02-Dec-2018 15:58;1,004.9K
