"Id","TotalComment","ViewCount"
14145,34,12486
14156,4,668
14163,39,18449
14169,2,324
14170,6,290
14180,4,317
14191,9,855
14196,49,27491
14200,4,2679
14207,1,382
14211,6,690
14217,7,1015
14219,49,16326
14228,13,1015
14231,5,1111
14272,38,12931
14277,68,21110
14282,6,1594
14289,6,284
14295,5,5610
14308,9,480
14315,7,1064
14322,12,976
14324,15,4440
14328,6,226
14336,3,883
14337,24,14278
14339,43,9499
14342,4,138
14377,15,4672
14378,4,605
14391,4,276
14408,7,456
14413,7,654
14421,1,123
14424,12,779
14430,4,1594
14432,9,684
14445,40,21921
14451,5,554
14452,26,19899
14459,39,28114
14463,16,1630
14466,3,445
14496,9,1528
14502,23,19675
14507,9,911
14508,6,534
14515,16,16702
14518,19,369
14526,4,264
14535,46,18151
14546,6,401
14555,16,708
14566,9,286
14574,11,1132
14588,1,243
14593,14,2003
14598,17,485
14599,2,153
14601,5,3831
14607,11,1091
14615,21,9424
14619,6,589
